"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 1,  0.6516,  0.3973, -0.4565924E+00, -0.4565924E+00, -0.2647963E+01, -0.2647963E+01, -0.5561028E+01, -0.5561260E+01
 1,  0.6599,  0.3973, -0.4794305E+00, -0.4794305E+00, -0.2611582E+01, -0.2611582E+01, -0.5484624E+01, -0.5484853E+01
 1,  0.6668,  0.3973, -0.4983163E+00, -0.4983163E+00, -0.2579743E+01, -0.2579743E+01, -0.5417759E+01, -0.5417985E+01
 1,  0.6726,  0.3973, -0.5138963E+00, -0.5138963E+00, -0.2552237E+01, -0.2552237E+01, -0.5359993E+01, -0.5360217E+01
 1,  0.6774,  0.3973, -0.5267257E+00, -0.5267257E+00, -0.2528717E+01, -0.2528718E+01, -0.5310599E+01, -0.5310821E+01
 1,  0.6814,  0.3973, -0.5372759E+00, -0.5372759E+00, -0.2508771E+01, -0.2508771E+01, -0.5268710E+01, -0.5268930E+01
 1,  0.6847,  0.3973, -0.5459429E+00, -0.5459429E+00, -0.2491967E+01, -0.2491967E+01, -0.5233419E+01, -0.5233637E+01
 1,  0.6874,  0.3973, -0.5530573E+00, -0.5530573E+00, -0.2477885E+01, -0.2477885E+01, -0.5203845E+01, -0.5204062E+01
 1,  0.6897,  0.3973, -0.5588940E+00, -0.5588940E+00, -0.2466135E+01, -0.2466135E+01, -0.5179168E+01, -0.5179384E+01
 1,  0.6915,  0.3973, -0.5636802E+00, -0.5636802E+00, -0.2456365E+01, -0.2456365E+01, -0.5158650E+01, -0.5158867E+01
 1,  0.6930,  0.3973, -0.5676037E+00, -0.5676037E+00, -0.2448264E+01, -0.2448264E+01, -0.5141638E+01, -0.5141832E+01
 1,  0.6943,  0.3973, -0.5708191E+00, -0.5708192E+00, -0.2441563E+01, -0.2441563E+01, -0.5127566E+01, -0.5128053E+01
 1,  0.6953,  0.3973, -0.5734538E+00, -0.5734530E+00, -0.2436031E+01, -0.2436031E+01, -0.5115947E+01, -0.5111681E+01
 2,  0.0047,  0.4040,  0.9329345E+00,  0.3727492E+00, -0.4415112E-01, -0.4415105E-01, -0.8628225E-01,  0.3186583E+04
 2,  0.0057,  0.4040,  0.9328853E+00,  0.9739643E+00, -0.5384556E-01, -0.5384548E-01, -0.1052276E+00, -0.1829728E+03
 2,  0.0070,  0.4040,  0.9328122E+00,  0.9292199E+00, -0.6564676E-01, -0.6564666E-01, -0.1282901E+00,  0.1218028E+02
 2,  0.0085,  0.4040,  0.9327037E+00,  0.9330737E+00, -0.8000175E-01, -0.8000164E-01, -0.1563433E+00, -0.1118462E+01
 2,  0.0103,  0.4040,  0.9325432E+00,  0.9324987E+00, -0.9744708E-01, -0.9744695E-01, -0.1904358E+00, -0.1037293E+00
 2,  0.0126,  0.4040,  0.9323058E+00,  0.9323120E+00, -0.1186240E+00, -0.1186239E+00, -0.2318208E+00, -0.2413010E+00
 2,  0.0153,  0.4040,  0.9319556E+00,  0.9319546E+00, -0.1442950E+00, -0.1442948E+00, -0.2819882E+00, -0.2813624E+00
 2,  0.0186,  0.4040,  0.9314401E+00,  0.9314402E+00, -0.1753602E+00, -0.1753600E+00, -0.3426975E+00, -0.3434180E+00
 2,  0.0226,  0.4040,  0.9306834E+00,  0.9306834E+00, -0.2128740E+00, -0.2128737E+00, -0.4160087E+00, -0.4166763E+00
